gender,age,bmi,size
*,*,*,900
*,*,10-30,1500
*,*,10-50,1200
*,*,30-50,600
*,0-20,*,900
*,20-40,10-30,600
*,20-40,27.32,300
*,20-40,30-50,300
*,30-40,30-50,300
*,40-60,*,300
*,40-60,27.32,300
*,40-60,30-50,300
*,45-50,27.32,300
*,80.0,10-30,300
Female,*,*,2100
Female,*,10-30,4500
Female,*,10-50,1200
Female,*,30-50,900
Female,0-10,10-30,300
Female,0-10,27.32,300
Female,0-20,*,900
Female,0-20,10-30,1500
Female,0-20,30-50,300
Female,0-5,10-30,300
Female,10-15,10-30,300
Female,10-20,10-50,300
Female,10-20,27.32,300
Female,15-20,10-30,300
Female,15-20,10-50,300
Female,15-20,27.32,300
Female,19.0,10-30,300
Female,2.0,10-30,300
Female,20-25,10-30,600
Female,20-25,27.32,300
Female,20-25,30-50,300
Female,20-30,10-30,300
Female,20-30,30-50,300
Female,20-40,*,300
Female,20-40,10-30,1500
Female,20-40,27.32,600
Female,20-40,30-50,900
Female,20.0,10-30,300
Female,21.0,10-30,300
Female,22.0,10-30,300
Female,23.0,10-30,300
Female,25-30,10-30,300
Female,25-30,27.32,300
Female,25-30,30-50,600
Female,25.0,10-30,300
Female,26.0,10-30,300
Female,27.0,10-30,300
Female,28.0,10-30,300
Female,29.0,10-30,300
Female,3.0,10-30,300
Female,30-35,10-30,300
Female,30-35,27.32,300
Female,30-35,30-50,300
Female,30.0,10-30,300
Female,33.0,10-30,300
Female,34.0,10-30,300
Female,35-40,10-30,300
Female,35-40,27.32,300
Female,35-40,30-50,300
Female,37.0,10-30,300
Female,38.0,10-30,300
Female,39.0,10-30,300
Female,4.0,10-30,300
Female,40-45,27.32,300
Female,40-45,30-50,300
Female,40-50,*,300
Female,40-50,30-50,900
Female,40-60,*,300
Female,40-60,10-30,1500
Female,40-60,10-50,300
Female,40-60,27.32,600
Female,40-60,30-50,1200
Female,40.0,10-30,300
Female,41.0,10-30,300
Female,42.0,10-30,300
Female,43.0,10-30,300
Female,44.0,10-30,300
Female,45-50,10-30,300
Female,45-50,10-50,300
Female,45-50,27.32,300
Female,45-50,30-50,300
Female,45.0,10-30,300
Female,47.0,10-30,300
Female,48.0,10-30,300
Female,49.0,10-30,300
Female,5-10,10-30,300
Female,5-10,10-50,300
Female,5.0,10-30,300
Female,50-55,10-30,300
Female,50-55,27.32,300
Female,50-55,30-50,300
Female,52.0,10-30,300
Female,53.0,10-30,300
Female,54.0,10-30,300
Female,55-60,10-30,300
Female,55-60,27.32,300
Female,55-60,30-50,300
Female,57.0,10-30,300
Female,59.0,10-30,300
Female,60-65,10-30,600
Female,60-65,27.32,300
Female,60-65,30-50,600
Female,60-70,10-30,1800
Female,60-80,*,300
Female,60-80,10-30,300
Female,60-80,10-50,600
Female,60-80,27.32,300
Female,60-80,30-50,1200
Female,60.0,10-30,300
Female,62.0,10-30,300
Female,65-70,27.32,300
Female,65-70,30-50,300
Female,7.0,10-30,300
Female,70-75,27.32,300
Female,70-75,30-50,300
Female,70-80,30-50,300
Female,75-80,10-30,600
Female,75-80,27.32,300
Female,75-80,30-50,300
Female,80.0,*,300
Female,80.0,10-30,300
Female,80.0,27.32,300
Female,80.0,30-50,300
Male,*,*,600
Male,*,10-30,900
Male,0-10,*,600
Male,0-10,10-30,900
Male,0-10,27.32,300
Male,0-20,*,300
Male,0-20,10-30,1500
Male,0-20,10-50,300
Male,0-5,*,300
Male,0-5,10-30,600
Male,10-15,10-30,600
Male,10-15,27.32,300
Male,10-20,10-30,300
Male,15-20,10-30,300
Male,15-20,10-50,300
Male,15-20,27.32,300
Male,20-25,10-30,300
Male,20-30,*,1200
Male,20-30,10-30,300
Male,20-30,27.32,300
Male,20-30,30-50,300
Male,20-40,*,600
Male,20-40,10-30,300
Male,20-40,10-50,300
Male,25-30,10-30,300
Male,3.0,10-30,300
Male,30-35,*,300
Male,30-35,10-30,300
Male,30-35,30-50,300
Male,30-40,*,300
Male,30-40,10-30,300
Male,30-40,27.32,300
Male,30.0,*,300
Male,35-40,*,1200
Male,35-40,10-30,600
Male,35-40,30-50,300
Male,40-45,*,900
Male,40-45,10-30,300
Male,40-45,27.32,300
Male,40-50,*,600
Male,40-50,30-50,300
Male,40-60,*,600
Male,40-60,10-30,1500
Male,40-60,27.32,300
Male,40-60,30-50,600
Male,45-50,*,900
Male,45-50,10-30,300
Male,45-50,27.32,300
Male,45-50,30-50,300
Male,5-10,10-30,900
Male,50-55,*,600
Male,50-55,10-30,300
Male,50-55,27.32,300
Male,50-55,30-50,300
Male,50-60,*,600
Male,50-60,10-30,600
Male,52.0,*,300
Male,55-60,*,300
Male,55-60,10-30,300
Male,55-60,27.32,300
Male,55-60,30-50,600
Male,6.0,10-30,300
Male,60-65,*,300
Male,60-65,10-30,400
Male,60-65,27.32,300
Male,60-65,30-50,900
Male,60-70,*,300
Male,60-80,10-30,1200
Male,60-80,10-50,300
Male,60-80,30-50,600
Male,65-70,*,600
Male,65-70,10-30,300
Male,65-70,27.32,300
Male,65-70,30-50,300
Male,70-75,*,300
Male,70-75,10-30,300
Male,70-80,10-30,900
Male,70-80,27.32,300
Male,70-80,30-50,300
Male,75-80,*,300
Male,80.0,*,300
Male,80.0,10-30,300
Male,80.0,10-50,600
Male,80.0,27.32,300
