gender,age,bmi,size
*,*,*,253
Female,*,50-70,560
Female,0-5,10-30,1034
Female,10-15,10-30,1505
Female,10-15,27.32,508
Female,10-20,30-50,506
Female,15-20,10-30,1075
Female,15-20,27.32,651
Female,18.0,10-30,426
Female,19.0,10-30,465
Female,2.0,10-30,566
Female,20-25,27.32,1087
Female,20-25,30-50,695
Female,20.0,10-30,484
Female,21.0,10-30,440
Female,22.0,10-30,467
Female,23.0,10-30,480
Female,24.0,10-30,445
Female,25-30,27.32,1129
Female,25-30,30-50,976
Female,25.0,10-30,432
Female,26.0,10-30,434
Female,27.0,10-30,438
Female,28.0,10-30,450
Female,29.0,10-30,425
Female,3.0,10-30,479
Female,30-35,10-30,1502
Female,30-35,27.32,1032
Female,30-35,30-50,1049
Female,30.0,10-30,403
Female,35-40,10-30,1100
Female,35-40,27.32,1026
Female,35-40,30-50,1143
Female,38.0,10-30,412
Female,39.0,10-30,406
Female,4.0,10-30,484
Female,40-45,10-30,1078
Female,40-45,27.32,981
Female,40-45,30-50,1201
Female,40.0,10-30,422
Female,43.0,10-30,423
Female,45-50,27.32,1110
Female,45-50,30-50,1308
Female,45.0,10-30,401
Female,46.0,*,404
Female,47.0,10-30,443
Female,48.0,10-30,431
Female,49.0,10-30,419
Female,5-10,10-30,1318
Female,5-10,27.32,409
Female,5.0,10-30,406
Female,50-55,10-30,1162
Female,50-55,27.32,1069
Female,50-55,30-50,1417
Female,51.0,10-30,417
Female,52.0,10-30,407
Female,55-60,10-30,1706
Female,55-60,27.32,959
Female,55-60,30-50,1443
Female,60-65,10-30,1543
Female,60-65,27.32,930
Female,60-65,30-50,1239
Female,65-70,10-30,1344
Female,65-70,27.32,713
Female,65-70,30-50,913
Female,70-75,10-30,1081
Female,70-75,27.32,552
Female,70-75,30-50,651
Female,75-80,10-30,948
Female,75-80,27.32,538
Female,75-80,30-50,509
Female,80.0,10-30,1818
Female,80.0,27.32,1170
Female,80.0,30-50,516
Male,*,30-50,967
Male,0-5,10-30,1331
Male,0-5,27.32,405
Male,10-15,10-30,1706
Male,10-15,27.32,449
Male,10-20,30-50,418
Male,15-20,10-30,1595
Male,15-20,27.32,569
Male,2.0,10-30,513
Male,20-25,10-30,1134
Male,20-25,27.32,671
Male,25-30,10-30,1000
Male,25-30,27.32,788
Male,25-30,30-50,415
Male,3.0,10-30,446
Male,30-35,10-30,935
Male,30-35,27.32,722
Male,30-35,30-50,609
Male,35-40,10-30,1001
Male,35-40,27.32,833
Male,35-40,30-50,701
Male,40-45,10-30,1010
Male,40-45,27.32,829
Male,40-45,30-50,886
Male,45-50,10-30,1194
Male,45-50,27.32,918
Male,45-50,30-50,956
Male,5-10,10-30,1463
Male,5-10,27.32,424
Male,5.0,10-30,413
Male,50-55,10-30,1207
Male,50-55,27.32,860
Male,50-55,30-50,1039
Male,55-60,10-30,1228
Male,55-60,27.32,781
Male,55-60,30-50,1014
Male,60-65,10-30,1071
Male,60-65,27.32,721
Male,60-65,30-50,914
Male,65-70,10-30,951
Male,65-70,27.32,603
Male,65-70,30-50,722
Male,70-75,10-30,835
Male,70-75,27.32,516
Male,70-75,30-50,511
Male,75-80,10-30,713
Male,75-80,27.32,420
Male,80.0,10-30,1075
Male,80.0,27.32,752
