gender,age,bmi,size
*,*,*,600
*,*,10-30,1200
*,*,10-50,200
*,*,30-50,1000
*,0-20,10-50,200
*,20-40,10-50,200
*,25-30,27.32,200
*,40-50,10-50,200
*,40-60,10-30,200
*,70-75,30-50,200
Female,*,*,1800
Female,*,10-30,3800
Female,*,30-50,400
Female,0-10,10-30,400
Female,0-10,10-50,200
Female,0-20,*,600
Female,0-20,10-30,1000
Female,0-20,27.32,200
Female,0-20,30-50,200
Female,0-5,10-30,1000
Female,0-5,27.32,200
Female,10-15,10-30,400
Female,10-15,27.32,200
Female,10-20,10-30,200
Female,10-20,30-50,200
Female,10.0,10-30,200
Female,12.0,10-30,200
Female,13.0,10-30,200
Female,14.0,*,200
Female,15-20,10-30,200
Female,15-20,27.32,200
Female,15.0,10-30,200
Female,16.0,*,200
Female,19.0,10-30,200
Female,2.0,10-30,200
Female,20-25,*,600
Female,20-25,27.32,200
Female,20-25,30-50,200
Female,20-30,*,400
Female,20-40,*,200
Female,20-40,10-30,4200
Female,20-40,27.32,400
Female,20-40,30-50,400
Female,20.0,10-30,200
Female,21.0,10-30,200
Female,22.0,10-30,400
Female,23.0,10-30,400
Female,24.0,10-30,200
Female,24.0,27.32,200
Female,25-30,*,200
Female,25-30,27.32,200
Female,25-30,30-50,200
Female,25.0,*,200
Female,25.0,10-30,200
Female,25.0,27.32,200
Female,26.0,10-30,200
Female,27.0,10-30,200
Female,27.0,27.32,200
Female,28.0,*,200
Female,28.0,10-30,200
Female,29.0,10-30,200
Female,3.0,10-30,200
Female,30-35,*,800
Female,30-35,10-30,200
Female,30-35,30-50,200
Female,30-40,*,200
Female,30-40,10-30,200
Female,30-40,27.32,200
Female,31.0,10-30,200
Female,33.0,10-30,200
Female,34.0,10-30,200
Female,35-40,*,400
Female,35-40,10-30,200
Female,35-40,27.32,200
Female,35-40,30-50,200
Female,35.0,*,200
Female,36.0,10-30,200
Female,37.0,*,200
Female,38.0,10-30,200
Female,38.0,30-50,200
Female,4.0,10-30,200
Female,40-45,*,200
Female,40-45,10-30,400
Female,40-45,27.32,200
Female,40-45,30-50,200
Female,40-50,10-30,200
Female,40-60,*,200
Female,40-60,10-30,3200
Female,40-60,10-50,600
Female,40-60,30-50,800
Female,40.0,10-30,200
Female,40.0,30-50,200
Female,41.0,10-30,200
Female,41.0,30-50,200
Female,42.0,30-50,200
Female,43.0,10-30,200
Female,44.0,10-30,200
Female,44.0,27.32,200
Female,44.0,30-50,200
Female,45-50,*,200
Female,45-50,10-30,200
Female,45-50,27.32,200
Female,45-50,30-50,200
Female,45.0,10-30,200
Female,45.0,30-50,200
Female,46.0,10-30,200
Female,47.0,10-30,200
Female,48.0,10-30,200
Female,49.0,30-50,200
Female,5-10,*,200
Female,5-10,27.32,200
Female,5.0,10-30,200
Female,50-55,10-30,200
Female,50-55,27.32,200
Female,50-55,30-50,200
Female,50-60,10-30,200
Female,50-60,30-50,200
Female,50.0,10-30,200
Female,50.0,27.32,200
Female,50.0,30-50,200
Female,51.0,10-30,200
Female,51.0,27.32,200
Female,51.0,30-50,200
Female,52.0,10-30,200
Female,53.0,30-50,200
Female,54.0,10-30,200
Female,54.0,27.32,200
Female,55-60,27.32,400
Female,55.0,10-30,200
Female,55.0,30-50,200
Female,56.0,10-30,200
Female,56.0,30-50,200
Female,57.0,10-30,200
Female,57.0,30-50,200
Female,58.0,10-30,200
Female,58.0,30-50,200
Female,59.0,10-30,200
Female,59.0,30-50,200
Female,6.0,10-30,200
