gender,age,bmi,size
*,*,*,450
*,*,10-30,900
*,*,30-50,450
*,0-10,*,450
*,0-10,10-30,450
*,0-20,*,900
*,0-20,10-30,450
*,0-20,10-50,450
*,20-30,30-50,450
*,20-40,27.32,450
*,40-60,27.32,450
*,40-60,30-50,450
Female,*,10-30,5850
Female,*,10-50,2700
Female,*,30-50,450
Female,0-10,10-30,450
Female,0-20,*,1350
Female,0-20,27.32,450
Female,0-20,30-50,534
Female,0-5,10-30,450
Female,10-15,10-30,900
Female,10-20,*,450
Female,10-20,27.32,450
Female,15-20,10-30,916
Female,2.0,10-30,450
Female,20-25,*,900
Female,20-25,10-30,450
Female,20-30,*,1800
Female,20-30,27.32,450
Female,20-30,30-50,450
Female,20-40,*,1350
Female,20-40,10-30,1350
Female,20.0,10-30,450
Female,22.0,*,450
Female,25-30,10-30,450
Female,30-35,*,450
Female,30-35,10-30,450
Female,30-35,30-50,450
Female,30-40,*,900
Female,30-40,10-30,900
Female,30-40,27.32,450
Female,35-40,*,900
Female,35-40,10-30,450
Female,35-40,30-50,450
Female,40-45,*,1350
Female,40-45,10-30,900
Female,40-45,30-50,450
Female,40-50,*,900
Female,40-50,27.32,450
Female,40-50,30-50,450
Female,40-60,*,4050
Female,45-50,*,900
Female,45-50,10-30,450
Female,50-55,10-30,450
Female,50-55,10-50,1350
Female,50-55,30-50,450
Female,50-60,10-50,450
Female,50-60,27.32,450
Female,50-60,30-50,450
Female,55-60,*,450
Female,55-60,10-30,450
Female,55-60,30-50,450
Female,60-65,27.32,450
Female,60-65,30-50,450
Female,60-70,27.32,450
Female,60-80,*,450
Female,60-80,10-30,450
Female,60-80,30-50,450
Female,65-70,10-30,900
Female,65-70,27.32,450
Female,65-70,30-50,450
Female,70-75,10-30,450
Female,70-75,30-50,450
Female,70-80,10-30,450
Female,70-80,27.32,450
Female,75-80,10-30,900
Female,75-80,30-50,450
Female,80.0,*,450
Female,80.0,10-30,1350
Female,80.0,10-50,450
Female,80.0,27.32,900
Male,*,*,2250
Male,*,10-30,2250
Male,*,10-50,450
Male,0-10,10-30,1350
Male,0-20,10-30,900
Male,0-20,27.32,450
Male,0-5,*,450
Male,0-5,10-30,450
Male,10-15,10-30,450
Male,10-20,10-30,450
Male,10-20,10-50,450
Male,15-20,*,450
Male,15-20,10-30,900
Male,20-25,*,450
Male,20-25,27.32,450
Male,20-30,27.32,450
Male,20-30,30-50,450
Male,20-40,*,450
Male,20-40,10-30,450
Male,25-30,*,450
Male,25-30,10-30,450
Male,30-35,*,450
Male,30-35,10-30,450
Male,30-40,*,900
Male,30-40,10-50,450
Male,30-40,27.32,450
Male,30-40,30-50,450
Male,35-40,10-30,450
Male,35-40,30-50,450
Male,40-45,10-30,450
Male,40-45,27.32,450
Male,40-45,30-50,450
Male,40-50,*,1350
Male,40-60,*,450
Male,40-60,30-50,450
Male,45-50,*,900
Male,45-50,10-30,450
Male,45-50,27.32,450
Male,45-50,30-50,450
Male,5-10,*,450
Male,5-10,10-30,450
Male,50-55,*,1800
Male,50-55,10-30,450
Male,50-55,30-50,450
Male,50-60,*,1350
Male,50-60,27.32,450
Male,55-60,10-30,450
Male,55-60,30-50,450
Male,60-65,*,900
Male,60-65,10-30,450
Male,60-70,*,450
Male,60-70,30-50,450
Male,60-80,*,450
Male,60-80,27.32,450
Male,65-70,*,450
Male,65-70,10-30,450
Male,65-70,30-50,450
Male,70-75,10-30,450
Male,70-75,30-50,450
Male,70-80,*,450
Male,75-80,10-30,450
Male,80.0,*,450
Male,80.0,10-30,450
Male,80.0,10-50,450
Male,80.0,27.32,450
