gender,age,bmi,size
*,*,*,51
Female,0-20,30-50,75
Female,0-5,10-30,812
Female,0-5,27.32,103
Female,1.56,10-30,61
Female,1.64,10-30,58
Female,10-15,30-50,134
Female,10.0,10-30,296
Female,10.0,27.32,121
Female,11.0,10-30,273
Female,11.0,27.32,104
Female,12.0,10-30,310
Female,12.0,27.32,87
Female,13.0,10-30,322
Female,13.0,27.32,101
Female,14.0,10-30,304
Female,14.0,27.32,95
Female,15.0,10-30,350
Female,15.0,27.32,79
Female,16.0,10-30,357
Female,16.0,27.32,99
Female,16.0,30-50,74
Female,17.0,10-30,368
Female,17.0,27.32,134
Female,17.0,30-50,65
Female,18.0,10-30,426
Female,18.0,27.32,166
Female,18.0,30-50,87
Female,19.0,10-30,465
Female,19.0,27.32,173
Female,19.0,30-50,99
Female,2.0,10-30,490
Female,2.0,27.32,76
Female,20-40,50-70,64
Female,20.0,10-30,484
Female,20.0,27.32,213
Female,20.0,30-50,108
Female,21.0,10-30,440
Female,21.0,27.32,227
Female,21.0,30-50,136
Female,22.0,10-30,467
Female,22.0,27.32,219
Female,22.0,30-50,139
Female,23.0,10-30,480
Female,23.0,27.32,204
Female,23.0,30-50,141
Female,24.0,10-30,445
Female,24.0,27.32,224
Female,24.0,30-50,171
Female,25.0,10-30,432
Female,25.0,27.32,203
Female,25.0,30-50,174
Female,26.0,10-30,434
Female,26.0,27.32,243
Female,26.0,30-50,183
Female,27.0,10-30,438
Female,27.0,27.32,235
Female,27.0,30-50,160
Female,28.0,10-30,450
Female,28.0,27.32,232
Female,28.0,30-50,213
Female,29.0,10-30,425
Female,29.0,27.32,216
Female,29.0,30-50,246
Female,3.0,10-30,375
Female,3.0,27.32,104
Female,30-35,50-70,60
Female,30.0,10-30,403
Female,30.0,27.32,209
Female,30.0,30-50,218
Female,31.0,10-30,378
Female,31.0,27.32,225
Female,31.0,30-50,231
Female,32.0,10-30,365
Female,32.0,27.32,205
Female,32.0,30-50,188
Female,33.0,10-30,384
Female,33.0,27.32,188
Female,33.0,30-50,217
Female,34.0,10-30,375
Female,34.0,27.32,205
Female,34.0,30-50,195
Female,35-40,50-70,69
Female,35.0,10-30,367
Female,35.0,27.32,193
Female,35.0,30-50,202
Female,36.0,10-30,357
Female,36.0,27.32,205
Female,36.0,30-50,223
Female,37.0,10-30,376
Female,37.0,27.32,191
Female,37.0,30-50,226
Female,38.0,10-30,412
Female,38.0,27.32,224
Female,38.0,30-50,255
Female,39.0,10-30,406
Female,39.0,27.32,213
Female,39.0,30-50,237
Female,4.0,10-30,404
