gender,age,bmi,size
*,*,*,1400
*,*,10-30,1050
*,0-10,27.32,350
*,0-20,10-50,350
*,0-20,27.32,350
*,20-40,10-30,350
*,20-40,10-50,350
*,23.0,10-30,350
*,40-50,10-50,350
*,40-60,10-50,350
*,40-60,27.32,350
Female,*,10-30,5950
Female,*,10-50,350
Female,*,27.32,1400
Female,*,30-50,2100
Female,0-10,10-50,350
Female,0-10,27.32,350
Female,0-20,*,350
Female,0-20,10-30,700
Female,0-5,10-30,600
Female,10-15,*,350
Female,10-15,10-30,700
Female,10-20,27.32,350
Female,15-20,*,700
Female,15-20,10-30,700
Female,2.0,10-30,350
Female,20-25,*,1050
Female,20-25,10-30,350
Female,20-25,30-50,350
Female,20-30,*,700
Female,20-30,10-50,350
Female,20-30,27.32,350
Female,20-40,*,3150
Female,20-40,10-30,700
Female,20.0,10-30,350
Female,21.0,*,350
Female,25-30,*,700
Female,25-30,10-30,350
Female,25-30,30-50,350
Female,27.0,10-30,350
Female,28.0,*,350
Female,30-35,10-30,350
Female,30-35,30-50,350
Female,30-40,10-30,350
Female,30-40,27.32,350
Female,32.0,10-30,350
Female,34.0,10-30,350
Female,35-40,*,350
Female,35-40,10-30,350
Female,35-40,30-50,350
Female,39.0,10-30,350
Female,40-45,10-30,350
Female,40-45,10-50,350
Female,40-45,27.32,350
Female,40-45,30-50,700
Female,40-50,*,1750
Female,40-50,30-50,350
Female,40-60,*,1400
Female,40-60,10-30,350
Female,40-60,10-50,350
Female,40-60,30-50,1050
Female,43.0,10-30,350
Female,45-50,*,1050
Female,45-50,10-30,350
Female,45-50,27.32,350
Female,5-10,*,350
Female,5-10,10-30,700
Female,5-10,10-50,350
Female,50-55,*,1400
Female,50-55,10-30,350
Female,50-55,27.32,350
Female,50-55,30-50,350
Female,50-60,*,350
Female,50-60,10-50,350
Female,52.0,10-30,350
Female,55-60,10-30,350
Female,55-60,30-50,350
Female,55.0,10-30,350
Female,60-65,10-30,350
Female,60-65,27.32,350
Female,60-65,30-50,700
Female,60-70,10-30,700
Female,60-70,30-50,1050
Female,60-80,*,350
Female,60.0,10-30,350
Female,62.0,10-30,350
Female,65-70,10-30,1400
Female,65-70,27.32,350
Female,65-70,30-50,350
Female,70-75,10-30,350
Female,70-75,30-50,350
Female,70-80,10-30,1400
Female,70-80,27.32,350
Female,80.0,*,350
Female,80.0,10-30,350
Female,80.0,27.32,700
Female,80.0,30-50,350
Male,*,*,1400
Male,*,10-30,4900
Male,*,10-50,350
Male,*,27.32,350
Male,0-10,*,700
Male,0-20,*,700
Male,0-20,10-30,1050
Male,0-20,27.32,350
Male,0-20,30-50,350
Male,0-5,*,350
Male,0-5,10-30,350
Male,0-5,10-50,350
Male,10-15,*,700
Male,10-15,10-30,350
Male,10-20,*,350
Male,10-20,27.32,350
Male,15-20,10-30,700
Male,20-25,10-30,700
Male,20-30,*,350
Male,20-30,27.32,350
Male,20-40,*,1050
Male,20-40,10-30,350
Male,20-40,10-50,350
Male,20-40,30-50,350
Male,25-30,10-30,350
Male,25-30,30-50,350
Male,3.0,10-30,350
Male,30-35,*,350
Male,30-35,10-30,350
Male,30-35,27.32,350
Male,30-35,30-50,350
Male,30-40,30-50,350
Male,35-40,*,700
Male,35-40,10-30,350
Male,35-40,27.32,350
Male,4.0,10-30,350
Male,40-45,10-30,1050
Male,40-45,27.32,350
Male,40-45,30-50,350
Male,40-50,10-30,700
Male,40-50,27.32,350
Male,40-50,30-50,700
Male,40-60,10-30,350
Male,40-60,10-50,350
Male,40-60,27.32,350
Male,40-60,30-50,700
Male,45-50,27.32,350
Male,45-50,30-50,350
Male,5-10,10-30,700
Male,50-55,10-30,350
Male,50-55,27.32,700
Male,50-55,30-50,350
Male,50-60,*,350
Male,55-60,10-30,1050
Male,55-60,27.32,350
Male,55-60,30-50,350
Male,60-65,10-30,350
Male,60-65,10-50,350
Male,60-70,10-50,1050
Male,60-70,27.32,350
Male,60-70,30-50,350
Male,60-80,10-30,1050
Male,60-80,30-50,350
Male,65-70,*,350
Male,65-70,10-30,350
Male,65-70,30-50,350
Male,70-75,*,350
Male,70-75,10-30,350
Male,70-75,30-50,350
Male,70-80,10-30,350
Male,70-80,27.32,350
Male,75-80,30-50,350
Male,80.0,*,350
Male,80.0,10-30,350
Male,80.0,10-50,350
Male,80.0,27.32,350
