gender,age,bmi,size
*,*,*,1500
*,*,10-30,500
*,*,10-50,250
*,20-40,10-30,750
*,20-40,10-50,250
*,25-30,30-50,250
*,40-50,10-50,250
*,40-60,10-50,250
*,50-60,27.32,250
Female,*,10-30,1750
Female,*,10-50,1000
Female,0-10,10-30,750
Female,0-10,27.32,250
Female,0-20,*,250
Female,0-20,10-30,2750
Female,0-20,30-50,250
Female,0-5,10-30,500
Female,10-15,10-30,750
Female,10-15,27.32,250
Female,10-20,10-30,500
Female,10-20,30-50,250
Female,11.0,10-30,250
Female,15-20,10-30,250
Female,15-20,27.32,250
Female,15.0,10-30,250
Female,18.0,10-30,250
Female,19.0,10-30,250
Female,20-25,*,500
Female,20-25,10-30,250
Female,20-25,27.32,250
Female,20-25,30-50,250
Female,20-30,*,500
Female,20-30,10-30,250
Female,20-30,30-50,250
Female,20-40,*,750
Female,20-40,10-30,2750
Female,20-40,30-50,750
Female,20.0,10-30,250
Female,22.0,10-30,500
Female,23.0,10-30,500
Female,25-30,*,250
Female,25-30,10-30,250
Female,25-30,27.32,250
Female,25-30,30-50,250
Female,25.0,10-30,250
Female,26.0,10-30,250
Female,27.0,10-30,250
Female,28.0,10-30,250
Female,30-35,*,750
Female,30-35,10-30,250
Female,30-35,30-50,750
Female,30-40,*,750
Female,30-40,27.32,250
Female,30-40,30-50,250
Female,30.0,*,250
Female,33.0,*,250
Female,35-40,*,250
Female,35-40,10-30,500
Female,35-40,27.32,500
Female,35.0,*,250
Female,40-45,10-30,250
Female,40-45,27.32,500
Female,40-45,30-50,250
Female,40-50,*,750
Female,40-60,*,750
Female,40-60,10-30,2500
Female,40-60,30-50,500
Female,40.0,10-30,250
Female,41.0,10-30,250
Female,42.0,10-30,250
Female,43.0,10-30,250
Female,45-50,*,1000
Female,45-50,10-30,250
Female,45-50,27.32,250
Female,45-50,30-50,250
Female,45.0,10-30,250
Female,47.0,10-30,250
Female,47.0,30-50,250
Female,48.0,10-30,250
Female,5-10,10-30,250
Female,5.0,10-30,250
Female,50-55,*,1000
Female,50-55,10-30,250
Female,50-55,27.32,500
Female,50-55,30-50,250
Female,50-60,*,500
Female,50-60,10-50,250
Female,50.0,10-30,250
Female,52.0,10-30,250
Female,53.0,10-30,250
Female,53.0,30-50,250
Female,55-60,*,250
Female,55-60,10-30,250
Female,55-60,27.32,250
Female,55-60,30-50,250
Female,55.0,*,250
Female,55.0,10-30,250
Female,56.0,10-30,250
Female,56.0,30-50,250
Female,57.0,10-30,250
Female,57.0,30-50,250
Female,58.0,*,250
Female,59.0,10-30,250
Female,60-65,*,250
Female,60-65,10-30,500
Female,60-65,27.32,500
Female,60-65,30-50,500
Female,60-70,30-50,250
Female,60-80,*,1250
Female,60-80,10-30,1250
Female,60-80,30-50,250
Female,61.0,10-30,250
Female,61.0,30-50,250
Female,62.0,10-30,250
Female,62.0,30-50,250
Female,65-70,*,250
Female,65-70,10-30,250
Female,65-70,27.32,250
Female,65-70,30-50,250
Female,65.0,10-30,250
Female,66.0,10-30,250
Female,67.0,*,250
Female,68.0,*,250
Female,70-75,10-30,750
Female,70-75,27.32,250
Female,70-75,30-50,250
Female,70-80,*,500
Female,70-80,10-30,250
Female,75-80,*,500
Female,75-80,10-30,250
Female,75-80,27.32,250
Female,75-80,30-50,250
Female,8.0,10-30,250
Female,80.0,*,250
Female,80.0,10-30,1500
Female,80.0,10-50,250
Female,80.0,27.32,500
Female,80.0,30-50,500
Female,9.0,10-30,250
Male,*,*,2250
Male,*,10-30,1250
Male,*,10-50,500
Male,*,27.32,750
Male,0-10,10-30,750
Male,0-10,27.32,250
