gender,age,bmi,size
*,*,*,150
*,*,10-50,300
*,0-10,10-30,150
*,0-20,10-30,750
*,20-30,10-30,150
*,20-40,10-30,300
*,20-40,30-50,150
*,40-60,10-30,150
*,40-60,30-50,150
*,50-55,10-30,150
*,50-55,30-50,150
*,80.0,10-30,300
Female,*,*,150
Female,*,10-30,4650
Female,*,10-50,900
Female,*,27.32,750
Female,*,30-50,1650
Female,0-10,*,150
Female,0-10,10-30,150
Female,0-20,*,750
Female,0-20,10-30,2100
Female,0-20,10-50,150
Female,0-5,10-30,750
Female,0-5,27.32,150
Female,10-15,10-30,150
Female,10-15,27.32,150
Female,10-20,10-30,150
Female,10.0,10-30,150
Female,11.0,10-30,150
Female,12.0,10-30,150
Female,14.0,10-30,150
Female,15-20,*,150
Female,15-20,10-30,300
Female,15-20,27.32,300
Female,15-20,30-50,300
Female,16.0,10-30,300
Female,17.0,10-30,300
Female,18.0,10-30,150
Female,19.0,10-30,300
Female,2.0,10-30,150
Female,20-25,*,150
Female,20-25,10-30,150
Female,20-25,27.32,300
Female,20-25,30-50,150
Female,20-30,*,150
Female,20-30,10-30,150
Female,20-30,30-50,150
Female,20-40,*,150
Female,20-40,10-30,3750
Female,20-40,10-50,600
Female,20-40,30-50,750
Female,20-40,50-90,150
Female,20.0,10-30,150
Female,20.0,27.32,150
Female,21.0,10-30,150
Female,22.0,10-30,150
Female,22.0,27.32,150
Female,23.0,10-30,150
Female,24.0,10-30,150
Female,24.0,27.32,150
Female,24.0,30-50,150
Female,25-30,10-30,300
Female,25-30,27.32,150
Female,25-30,30-50,150
Female,25.0,10-30,150
Female,25.0,27.32,150
Female,25.0,30-50,150
Female,26.0,10-30,150
Female,26.0,27.32,150
Female,27.0,10-30,150
Female,27.0,27.32,150
Female,28.0,10-30,150
Female,28.0,27.32,150
Female,28.0,30-50,150
Female,29.0,10-30,150
Female,3.0,10-30,150
Female,30-35,10-30,150
Female,30-35,27.32,150
Female,30-40,10-30,150
Female,30.0,10-30,150
Female,30.0,27.32,150
Female,30.0,30-50,150
Female,31.0,10-30,150
Female,31.0,30-50,150
Female,32.0,10-30,150
Female,32.0,27.32,150
Female,32.0,30-50,150
Female,33.0,10-30,150
Female,33.0,27.32,150
Female,33.0,30-50,150
Female,34.0,10-30,150
Female,34.0,30-50,150
Female,35-40,30-50,150
Female,35.0,10-30,150
Female,35.0,27.32,150
Female,35.0,30-50,150
Female,36.0,10-30,150
Female,36.0,27.32,150
Female,36.0,30-50,150
Female,37.0,10-30,150
Female,37.0,27.32,150
Female,37.0,30-50,150
Female,38.0,10-30,150
Female,38.0,27.32,150
Female,39.0,10-30,150
Female,39.0,27.32,150
Female,39.0,30-50,150
Female,4.0,10-30,150
Female,40-45,*,150
Female,40-45,10-30,150
Female,40-45,30-50,300
Female,40-50,10-30,150
Female,40-50,30-50,150
Female,40-60,*,150
Female,40-60,10-30,2400
Female,40-60,10-50,750
Female,40-60,30-50,900
Female,40.0,10-30,150
Female,40.0,27.32,150
Female,40.0,30-50,150
Female,41.0,10-30,150
Female,41.0,27.32,150
Female,42.0,10-30,300
Female,42.0,27.32,150
Female,42.0,30-50,150
Female,43.0,10-30,150
Female,43.0,27.32,150
Female,43.0,30-50,150
Female,44.0,10-30,150
Female,44.0,27.32,150
Female,44.0,30-50,150
Female,45-50,*,150
Female,45-50,27.32,150
Female,45-50,30-50,150
Female,45.0,10-30,150
Female,45.0,30-50,150
Female,46.0,10-30,250
Female,46.0,30-50,150
Female,47.0,10-30,150
Female,47.0,27.32,150
Female,47.0,30-50,150
