gender,age,bmi,size
*,*,*,1600
*,*,10-50,400
*,0-10,27.32,400
*,0-20,10-30,2000
*,0-20,30-50,400
*,10-20,*,400
*,15-20,*,1200
*,20-25,10-30,400
*,20-40,*,400
*,20-40,10-50,400
*,20-40,27.32,400
*,40-60,*,1200
*,40-60,10-30,400
*,40-60,30-50,400
*,45-50,30-50,400
Female,*,*,3600
Female,*,10-30,4800
Female,*,10-50,400
Female,*,27.32,400
Female,*,30-50,400
Female,0-10,*,400
Female,0-10,10-30,800
Female,0-20,*,400
Female,0-20,27.32,400
Female,0-5,10-30,800
Female,0-5,10-50,400
Female,10-15,*,400
Female,10-15,10-30,400
Female,10-20,*,400
Female,10-20,10-50,400
Female,15-20,10-30,400
Female,20-25,10-30,800
Female,20-25,27.32,800
Female,20-30,27.32,400
Female,20-30,30-50,400
Female,20-40,*,400
Female,20-40,10-30,2000
Female,20-40,10-50,800
Female,20.0,10-30,400
Female,25-30,10-30,400
Female,25-30,30-50,400
Female,25.0,10-30,400
Female,26.0,10-30,400
Female,27.0,10-30,400
Female,29.0,10-30,400
Female,30-35,27.32,400
Female,30-40,10-50,800
Female,30-40,27.32,400
Female,30-40,30-50,1600
Female,35-40,10-30,400
Female,35-40,10-50,800
Female,35-40,30-50,400
Female,39.0,10-30,400
Female,40-45,10-30,400
Female,40-45,30-50,400
Female,40-50,10-50,400
Female,40-50,27.32,400
Female,40-60,*,400
Female,40-60,10-30,800
Female,40-60,10-50,2800
Female,43.0,10-30,400
Female,45-50,10-30,400
Female,45-50,27.32,400
Female,45-50,30-50,400
Female,45.0,10-30,400
Female,47.0,10-30,400
Female,48.0,10-30,400
Female,49.0,10-30,400
Female,5-10,10-30,400
Female,50-55,10-30,800
Female,50-55,27.32,400
Female,50-55,30-50,400
Female,50-60,*,400
Female,50-60,10-30,400
Female,51.0,10-30,400
Female,52.0,10-30,400
Female,55-60,27.32,400
Female,55-60,30-50,400
Female,60-65,*,800
Female,60-65,10-30,400
Female,60-65,10-50,400
Female,60-65,30-50,400
Female,60-70,10-30,400
Female,60-70,10-50,400
Female,60-70,27.32,400
Female,60-80,10-30,1200
Female,60-80,30-50,400
Female,65-70,10-30,400
Female,65-70,30-50,400
Female,70-75,10-30,400
Female,70-75,10-50,400
Female,70-75,30-50,400
Female,70-80,10-30,800
Female,70-80,27.32,400
Female,70-80,30-50,400
Female,75-80,*,400
Female,80.0,*,400
Female,80.0,10-30,800
Female,80.0,10-50,400
Male,*,*,400
Male,*,10-30,1600
Male,*,10-50,400
Male,0-10,*,800
Male,0-10,10-30,400
Male,0-10,27.32,400
Male,0-20,10-30,1200
Male,0-20,30-50,400
Male,0-5,*,400
Male,0-5,10-30,400
Male,10-15,10-30,400
Male,10-20,10-30,400
Male,10-20,27.32,400
Male,15-20,*,400
Male,15-20,10-30,400
Male,20-30,*,800
Male,20-30,10-30,400
Male,20-30,27.32,400
Male,20-40,*,2000
Male,20-40,30-50,800
Male,25-30,*,400
Male,25-30,10-30,400
Male,3.0,10-30,400
Male,30-35,10-30,400
Male,30-35,27.32,400
Male,30-35,30-50,400
Male,30-40,10-30,400
Male,30-40,10-50,400
Male,35-40,10-30,400
Male,35-40,27.32,400
Male,35-40,30-50,400
Male,40-45,*,400
Male,40-45,10-30,400
Male,40-45,30-50,400
Male,40-50,27.32,400
Male,40-60,*,400
Male,40-60,10-30,400
Male,40-60,10-50,1200
Male,40-60,30-50,800
Male,45-50,*,1600
Male,45-50,10-30,400
Male,45-50,30-50,400
Male,5-10,10-30,800
Male,50-55,10-30,400
Male,50-55,10-50,400
Male,50-55,27.32,400
Male,50-55,30-50,400
Male,50-60,*,400
Male,50-60,27.32,400
Male,55-60,*,400
Male,55-60,10-30,400
Male,55-60,30-50,400
Male,60-65,*,1200
Male,60-65,10-30,400
Male,60-65,27.32,400
Male,60-70,*,400
Male,60-70,30-50,400
Male,60-80,*,800
Male,60-80,10-30,800
Male,65-70,10-30,400
Male,65-70,27.32,400
Male,65-70,30-50,400
Male,70-75,10-30,400
Male,70-80,*,400
Male,70-80,27.32,400
Male,70-80,30-50,400
Male,75-80,10-30,400
Male,80.0,*,400
Male,80.0,10-30,800
Male,80.0,10-50,400
