gender,age,bmi,size
*,10.0,10-50,860
*,18.0,*,1181
*,19.0,*,1268
*,23.0,*,1253
*,24.0,*,1236
*,26.0,*,1273
*,28.0,*,1377
*,39.0,*,1422
*,40-50,50-90,195
*,45.0,10-30,1017
*,47.0,30-50,459
*,50-60,50-90,151
*,52.0,30-50,506
*,53.0,10-30,1030
*,55.0,10-30,990
*,7.0,*,903
Female,0-5,10-50,2570
Female,11.0,*,398
Female,12.0,*,429
Female,13.0,*,450
Female,14.0,*,444
Female,15.0,*,478
Female,16.0,*,531
Female,17.0,*,570
Female,20.0,10-30,697
Female,20.0,30-50,108
Female,21.0,*,806
Female,22.0,*,826
Female,25.0,*,818
Female,27.0,*,843
Female,29.0,*,904
Female,30.0,*,844
Female,31.0,*,846
Female,32.0,*,770
Female,33.0,*,799
Female,34.0,*,788
Female,35.0,*,770
Female,36.0,*,803
Female,37.0,*,805
Female,38.0,*,907
Female,40.0,10-30,610
Female,40.0,30-50,239
Female,41.0,10-30,522
Female,41.0,30-50,222
Female,42.0,10-30,575
Female,42.0,30-50,242
Female,43.0,10-30,595
Female,43.0,30-50,249
Female,44.0,10-30,602
Female,44.0,30-50,249
Female,45.0,30-50,243
Female,46.0,10-30,616
Female,46.0,30-50,254
Female,47.0,10-30,664
Female,48.0,10-30,661
Female,48.0,30-50,258
Female,49.0,10-30,634
Female,49.0,30-50,298
Female,5.0,10-50,489
Female,50.0,10-30,607
Female,50.0,30-50,258
Female,51.0,10-30,640
Female,51.0,30-50,307
Female,52.0,10-30,621
Female,53.0,30-50,283
Female,54.0,10-30,596
Female,54.0,30-50,267
Female,55.0,30-50,300
Female,56.0,10-30,524
Female,56.0,30-50,273
Female,57.0,10-30,569
Female,57.0,30-50,289
Female,58.0,10-30,488
Female,58.0,30-50,300
Female,59.0,10-30,509
Female,59.0,30-50,281
Female,6.0,*,461
Female,60-80,50-70,111
Female,60.0,10-30,566
Female,60.0,30-50,248
Female,61.0,10-30,555
Female,61.0,30-50,280
Female,62.0,10-30,561
Female,62.0,30-50,282
Female,63.0,10-30,409
Female,63.0,30-50,219
Female,64.0,10-30,382
Female,64.0,30-50,210
Female,65.0,10-30,437
Female,65.0,30-50,196
Female,66.0,10-30,458
Female,66.0,30-50,207
Female,67.0,10-30,401
Female,67.0,30-50,182
Female,68.0,10-30,382
Female,68.0,30-50,171
Female,69.0,10-30,379
Female,69.0,30-50,157
Female,70.0,10-30,362
Female,70.0,30-50,149
Female,71.0,10-30,316
Female,71.0,30-50,157
Female,72.0,10-30,312
Female,72.0,30-50,107
Female,73.0,10-30,331
Female,73.0,30-50,120
Female,74.0,10-30,312
Female,74.0,30-50,118
Female,75-80,30-50,509
Female,75.0,10-30,303
Female,76.0,10-30,291
Female,77.0,10-30,322
Female,78.0,10-30,291
Female,79.0,10-30,279
Female,8.0,10-50,380
Female,80.0,*,3508
Female,9.0,10-50,369
Male,0-5,*,2708
Male,11.0,*,445
Male,12.0,*,462
Male,13.0,10-50,499
Male,14.0,*,462
Male,15.0,10-50,490
Male,16.0,*,491
Male,17.0,*,448
Male,20.0,*,431
Male,21.0,*,449
Male,22.0,*,411
Male,25.0,*,431
Male,27.0,*,449
Male,29.0,*,455
Male,30.0,*,454
Male,31.0,*,430
Male,32.0,*,474
Male,33.0,*,446
Male,34.0,*,474
Male,35.0,*,458
Male,36.0,*,454
Male,37.0,*,517
Male,38.0,*,591
Male,40.0,10-30,352
Male,40.0,30-50,161
Male,41.0,10-30,369
Male,41.0,30-50,175
Male,42.0,10-30,382
Male,42.0,30-50,176
Male,43.0,10-30,362
Male,43.0,30-50,212
Male,44.0,10-30,374
Male,44.0,30-50,162
Male,45.0,30-50,188
Male,46.0,10-30,440
Male,46.0,30-50,190
Male,47.0,10-30,431
Male,48.0,10-30,428
Male,48.0,30-50,200
Male,49.0,10-30,413
Male,49.0,30-50,176
Male,5.0,10-50,504
Male,50.0,10-30,388
Male,50.0,30-50,192
Male,51.0,10-30,431
Male,51.0,30-50,223
Male,52.0,10-30,394
Male,53.0,30-50,209
Male,54.0,10-30,416
Male,54.0,30-50,212
Male,55.0,30-50,195
Male,56.0,10-30,421
Male,56.0,30-50,200
Male,57.0,10-30,436
Male,57.0,30-50,216
Male,58.0,10-30,351
Male,58.0,30-50,200
Male,59.0,10-30,387
Male,59.0,30-50,203
Male,6.0,*,470
Male,60.0,*,589
Male,61.0,*,560
Male,62.0,*,619
Male,63.0,*,457
Male,64.0,*,500
Male,65.0,*,492
Male,66.0,10-30,340
Male,66.0,30-50,161
Male,67.0,*,447
Male,68.0,*,416
Male,69.0,10-30,296
Male,69.0,30-50,130
Male,70.0,*,405
Male,71.0,*,392
Male,72.0,10-30,258
Male,72.0,30-50,107
Male,73.0,*,372
Male,74.0,10-50,333
Male,75.0,10-50,305
Male,76.0,10-50,326
Male,77.0,10-50,295
Male,78.0,*,297
Male,79.0,10-50,265
Male,8.0,*,496
Male,80.0,*,2113
Male,9.0,10-50,412
